"dbn","school","school_type","report_type","principal","superintendent","colocated","colocated_dbns","Universal Literacy","Algebra for All","AP for All","College Access for All (MS)","College Access for All (HS)","Computer Science for All","Single Shepherd","District Charter Partnership","MSQI","Learning Partners","Showcase","Community School","PROSE","Consortium School","Gifted and Talented","Dual Language or Transitional","New Arrivals","Mastery Collaborative","admission_method","Phase out","Renewal","Receivership","Rise","federal_accountability_status","district","bfsc"
02M281,The River School,Elementary,EMS,Jessica Orleans,Bonnie Laboy,1,"02M391, 75M094",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M282,Urban Assembly Maker Academy,High School,HS,Luke Bauer,Fred Walsh,1,"02M135, 02M280, 02M520",0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,HS: Limited Unscreened,0,,,,Good Standing,02,AFSA
02M288,Food and Finance High School,High School,HS,Roger Turgeon,Marisol Rosales,1,"02M296, 02M300, 02M303, 02M542, 75M138",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,MFSC
02M289,I.S. 289,Middle,EMS,Zeynep Ozkan,Bonnie Laboy,1,02M089,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MS: Screened,0,,,,Good Standing,02,MFSC
02M290,P.S. 290 Manhattan New School,Elementary,EMS,Doreen Esposito,Bonnie Laboy,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K: Zoned School,0,,,,Good Standing,02,MFSC
02M294,Essex Street Academy,High School,HS,Wallace Simpson,Kathy Pelles,1,"02M305, 02M308, 02M543, 02M545",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,AFSA
02M296,High School of Hospitality Management,High School,HS,Yves Mompoint Jr,Marisol Rosales,1,"02M288, 02M300, 02M303, 02M542, 75M138",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,MFSC
02M297,M.S. 297,Middle,EMS,Jacqueline Getz,Bonnie Laboy,1,02M260,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,,,,Good Standing,02,MFSC
02M298,Pace High School,High School,HS,Eric Glatz,Marisol Rosales,1,"02M131, 02M394",0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,HS: Limited Unscreened,0,,,,Good Standing,02,MFSC
02M300,"Urban Assembly School of Design and Construction,",High School,HS,Matthew Willoughby,Fred Walsh,1,"02M288, 02M296, 02M303, 02M542, 75M138",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,HS: Limited Unscreened,0,,,,Good Standing,02,AFSA
